年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
111,12,106,大安區,25臨時用電小計　　　　　,**,4546,466723,5212707
111,12,106,大安區,26總計（含臨時用電）　　,**,369680,135999627,1992619708
111,12,106,大安區,27表燈合計　　　　　　　,**,50338,57250236,954013084
111,12,106,大安區,28綜合＆電力合計　　　　,**,319342,78749391,1038606624
111,12,108,萬華區,1表燈非營業用　　　　　,79717,1274,22901731,323344491
111,12,108,萬華區,2表燈營業用　　　　　　,8830,18761,11290528,139933524
111,12,108,萬華區,3表燈小計　　　　　　　,**,20035,34192259,463278015
111,12,108,萬華區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,108,萬華區,5低壓綜合需量非營業用　,404,14351,2056181,25901104
111,12,108,萬華區,6低壓電動車非營業用　,*,0,0,0
111,12,108,萬華區,7低壓綜合非營業用電小計,**,14351,2056181,25901104
111,12,108,萬華區,8低壓綜合裝置營業用　　,29,1380,149235,1921199
111,12,108,萬華區,9低壓綜合需量營業用　　,636,21104,4778090,57879063
111,12,108,萬華區,10低壓電動車營業用　,*,0,0,0
111,12,108,萬華區,11低壓綜合營業用電小計　,**,22484,4927325,59800262
111,12,108,萬華區,12低壓綜合用電小計　　　,**,36835,6983506,85701366
111,12,108,萬華區,13低壓裝置電力　　　　　,262,2706,192292,2501136
111,12,108,萬華區,14低壓需量電力　　　　　,30,810,186481,3040614
111,12,108,萬華區,15低壓電力小計　　　　　,**,3516,378773,5541750
111,12,108,萬華區,16高壓電力　　　　　　,107,47700,11168051,149668450
111,12,108,萬華區,17高壓電動車　　　　　,*,0,0,0
111,12,108,萬華區,18特高壓電力　　　　　　,*,0,0,0
111,12,108,萬華區,19高＆特高壓電力小計　　,**,47700,11168051,149668450
111,12,108,萬華區,20電力小計　　　　　　　,**,51216,11546824,155210200
111,12,108,萬華區,21綜合＆電力小計　　　　,**,88051,18530330,240911566
111,12,108,萬華區,22電燈＆綜合＆電力小計　,**,108086,52722589,704189581
111,12,108,萬華區,23臨時電燈　　　　　　　,15,0,23138,367463
111,12,108,萬華區,24臨時電力　　　　　　,38,3724,573291,6408314
111,12,108,萬華區,25臨時用電小計　　　　　,**,3724,596429,6775777
111,12,108,萬華區,26總計（含臨時用電）　　,**,108086,53319018,710965358
111,12,108,萬華區,27表燈合計　　　　　　　,**,20035,34215397,463645478
111,12,108,萬華區,28綜合＆電力合計　　　　,**,88051,19103621,247319880
111,12,110,信義區,1表燈非營業用　　　　　,86529,1106,19529000,414676222
111,12,110,信義區,2表燈營業用　　　　　　,10121,17931,11392943,180552023
111,12,110,信義區,3表燈小計　　　　　　　,**,19037,30921943,595228245
111,12,110,信義區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,110,信義區,5低壓綜合需量非營業用　,643,28229,4448639,54062979
111,12,110,信義區,6低壓電動車非營業用　,*,35,320,360
111,12,110,信義區,7低壓綜合非營業用電小計,**,28264,4448959,54063339
111,12,110,信義區,8低壓綜合裝置營業用　　,*,28,8703,111974
111,12,110,信義區,9低壓綜合需量營業用　　,533,23473,5064175,59184865
111,12,110,信義區,10低壓電動車營業用　,*,0,0,0
111,12,110,信義區,11低壓綜合營業用電小計　,**,23501,5072878,59296839
111,12,110,信義區,12低壓綜合用電小計　　　,**,51765,9521837,113360178
111,12,110,信義區,13低壓裝置電力　　　　　,20,202,20320,256418
111,12,110,信義區,14低壓需量電力　　　　　,*,680,135680,1489940
111,12,110,信義區,15低壓電力小計　　　　　,**,882,156000,1746358
111,12,110,信義區,16高壓電力　　　　　　,144,195763,54189747,741731838
111,12,110,信義區,17高壓電動車　　　　　,*,0,0,0
111,12,110,信義區,18特高壓電力　　　　　　,*,6017,2910400,36391063
111,12,110,信義區,19高＆特高壓電力小計　　,**,201780,57100147,778122901
111,12,110,信義區,20電力小計　　　　　　　,**,202662,57256147,779869259
111,12,110,信義區,21綜合＆電力小計　　　　,**,254427,66777984,893229437
111,12,110,信義區,22電燈＆綜合＆電力小計　,**,273464,97699927,1488457682
111,12,110,信義區,23臨時電燈　　　　　　　,8,0,2983,100914
111,12,110,信義區,24臨時電力　　　　　　,35,4715,882646,11602905
111,12,110,信義區,25臨時用電小計　　　　　,**,4715,885629,11703819
111,12,110,信義區,26總計（含臨時用電）　　,**,273464,98585556,1500161501
111,12,110,信義區,27表燈合計　　　　　　　,**,19037,30924926,595329159
111,12,110,信義區,28綜合＆電力合計　　　　,**,254427,67660630,904832342
111,12,111,士林區,1表燈非營業用　　　　　,108559,2274,36149667,538684474
111,12,111,士林區,2表燈營業用　　　　　　,9627,23644,12546862,186495369
111,12,111,士林區,3表燈小計　　　　　　　,**,25918,48696529,725179843
111,12,111,士林區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,111,士林區,5低壓綜合需量非營業用　,704,23501,3635843,44895972
111,12,111,士林區,6低壓電動車非營業用　,*,0,0,0
111,12,111,士林區,7低壓綜合非營業用電小計,**,23501,3635843,44895972
111,12,111,士林區,8低壓綜合裝置營業用　　,*,47,7293,83075
111,12,111,士林區,9低壓綜合需量營業用　　,733,26306,5431184,65792597
111,12,111,士林區,10低壓電動車營業用　,*,520,16880,43280
111,12,111,士林區,11低壓綜合營業用電小計　,**,26873,5455357,65918952
111,12,111,士林區,12低壓綜合用電小計　　　,**,50374,9091200,110814924
111,12,111,士林區,13低壓裝置電力　　　　　,95,1228,135251,1770655
111,12,111,士林區,14低壓需量電力　　　　　,124,7181,1073164,12674893
111,12,111,士林區,15低壓電力小計　　　　　,**,8409,1208415,14445548
111,12,111,士林區,16高壓電力　　　　　　,148,98663,23477053,313300376
111,12,111,士林區,17高壓電動車　　　　　,*,0,0,0
111,12,111,士林區,18特高壓電力　　　　　　,*,0,0,0
111,12,111,士林區,19高＆特高壓電力小計　　,**,98663,23477053,313300376
111,12,111,士林區,20電力小計　　　　　　　,**,107072,24685468,327745924
111,12,111,士林區,21綜合＆電力小計　　　　,**,157446,33776668,438560848
111,12,111,士林區,22電燈＆綜合＆電力小計　,**,183364,82473197,1163740691
111,12,111,士林區,23臨時電燈　　　　　　　,39,0,22822,393652
111,12,111,士林區,24臨時電力　　　　　　,46,2667,251841,2593820
111,12,111,士林區,25臨時用電小計　　　　　,**,2667,274663,2987472
111,12,111,士林區,26總計（含臨時用電）　　,**,183364,82747860,1166728163
111,12,111,士林區,27表燈合計　　　　　　　,**,25918,48719351,725573495
111,12,111,士林區,28綜合＆電力合計　　　　,**,157446,34028509,441154668
111,12,112,北投區,1表燈非營業用　　　　　,96836,1609,39948636,415421794
111,12,112,北投區,2表燈營業用　　　　　　,5805,14137,12390331,113770485
111,12,112,北投區,3表燈小計　　　　　　　,**,15746,52338967,529192279
111,12,112,北投區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,112,北投區,5低壓綜合需量非營業用　,752,22996,3170200,38681397
111,12,112,北投區,6低壓電動車非營業用　,*,0,0,0
111,12,112,北投區,7低壓綜合非營業用電小計,**,22996,3170200,38681397
111,12,112,北投區,8低壓綜合裝置營業用　　,*,70,8700,99780
111,12,112,北投區,9低壓綜合需量營業用　　,403,19408,4792645,57405255
111,12,112,北投區,10低壓電動車營業用　,*,0,0,0
111,12,112,北投區,11低壓綜合營業用電小計　,**,19478,4801345,57505035
111,12,112,北投區,12低壓綜合用電小計　　　,**,42474,7971545,96186432
