年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
104,12,105,松山區,16高＆特高壓電力小計　　,**,"142,448","41,065,746",535368249
104,12,105,松山區,17電力小計　　　　　　　,**,"143,764","41,217,349",537744508
104,12,105,松山區,18綜合＆電力小計　　　　,**,"206,241","53,209,033",695158707
104,12,105,松山區,19電燈＆綜合＆電力小計　,**,"225,767","107,459,014",1306712685
104,12,105,松山區,20臨時電燈　　　　　　　,9,0,39605,299394
104,12,105,松山區,21臨時電力　　　　　　　,20,"1,132","117,231",1812432
104,12,105,松山區,22臨時用電小計　　　　　,**,"1,132","156,836",2111826
104,12,105,松山區,23總計（含臨時用電）　　,**,"225,767","107,615,850",1308824511
104,12,105,松山區,24表燈合計　　　　　　　,**,"19,526","54,289,586",611853372
104,12,105,松山區,25綜合＆電力合計　　　　,**,"206,241","53,326,264",696971139
104,12,106,大安區,1表燈非營業用　　　　,"110,639","1,477","31,418,235",585474087
104,12,106,大安區,2表燈營業用　　　　　　,"17,362","37,936","23,615,455",379159388
104,12,106,大安區,3表燈小計　　　　　　　,**,"39,413","55,033,690",964633475
104,12,106,大安區,4低壓綜合裝置非營業用　,6,235,"15,164",199493
104,12,106,大安區,5低壓綜合需量非營業用　,"1,066","40,770","6,084,671",82869116
104,12,106,大安區,6低壓綜合非營業用電小計,**,"41,005","6,099,835",83068609
104,12,106,大安區,7低壓綜合裝置營業用　　,11,398,"75,549",1058389
104,12,106,大安區,8低壓綜合需量營業用　　,"1,443","64,504","12,495,734",172261479
104,12,106,大安區,9低壓綜合營業用電小計　,**,"64,902","12,571,283",173319868
104,12,106,大安區,10低壓綜合用電小計　　　,**,"105,907","18,671,118",256388477
104,12,106,大安區,11低壓裝置電力　　　　　,131,"1,513","141,542",2078104
104,12,106,大安區,12低壓需量電力　　　　　,＊,296,"46,093",630164
104,12,106,大安區,13低壓電力小計　　　　　,**,"1,809","187,635",2708268
104,12,106,大安區,14高壓電力　　　　　　　,281,"208,856","57,804,851",754648707
104,12,106,大安區,15特高壓電力　　　　　　,＊,"22,699","8,739,886",107141808
104,12,106,大安區,16高＆特高壓電力小計　　,**,"231,555","66,544,737",861790515
104,12,106,大安區,17電力小計　　　　　　　,**,"233,364","66,732,372",864498783
104,12,106,大安區,18綜合＆電力小計　　　　,**,"339,271","85,403,490",1120887260
104,12,106,大安區,19電燈＆綜合＆電力小計　,**,"378,684","140,437,180",2085520735
104,12,106,大安區,20臨時電燈　　　　　　　,18,0,"22,110",1071673
104,12,106,大安區,21臨時電力　　　　　　　,24,"2,377","381,717",3895975
104,12,106,大安區,22臨時用電小計　　　　　,**,"2,377","403,827",4967648
104,12,106,大安區,23總計（含臨時用電）　　,**,"378,684","140,841,007",2090488383
104,12,106,大安區,24表燈合計　　　　　　　,**,"39,413","55,055,800",965705148
104,12,106,大安區,25綜合＆電力合計　　　　,**,"339,271","85,785,207",1124783235
104,12,108,萬華區,1表燈非營業用　　　　,"76,687",926,"21,576,002",311177709
104,12,108,萬華區,2表燈營業用　　　　　　,"9,221","14,104","10,260,174",138101894
104,12,108,萬華區,3表燈小計　　　　　　　,**,"15,030","31,836,176",449279603
104,12,108,萬華區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,108,萬華區,5低壓綜合需量非營業用　,332,"11,300","1,547,282",19706098
104,12,108,萬華區,6低壓綜合非營業用電小計,**,"11,300","1,547,282",19706098
104,12,108,萬華區,7低壓綜合裝置營業用　　,36,"1,646","244,046",3141077
104,12,108,萬華區,8低壓綜合需量營業用　　,705,"23,954","5,365,045",70283405
104,12,108,萬華區,9低壓綜合營業用電小計　,**,"25,600","5,609,091",73424482
