seqno,type,city,countycode,name,localcallservice,address
83,環保餐廳,新北市,65000,"Q Burger中和圓通店",02-22427298,新北市中和區圓通路112號1樓
84,環保餐廳,新北市,65000,"Q Burger中和福美店",02-22490131,新北市中和區福善里福美路313號
85,環保餐廳,新北市,65000,"Q Burger中和廣福店",02-82458286,新北市中和區廣福路82號
86,環保餐廳,新北市,65000,"Q Burger中和興南店",02-86683877,新北市中和區興南路二段69號
87,環保餐廳,新北市,65000,"Q Burger中和環球店",02-82215555,新北市中和區民享街6號
88,環保餐廳,新北市,65000,"Q Burger五股工商店",02-22941002,新北市五股區工商路193號1樓
89,環保餐廳,新北市,65000,"Q Burger五股成洲店",02-22918228,新北市五股區成泰路三段577巷43號1樓
90,環保餐廳,新北市,65000,"Q Burger五股成泰店",02-29096663,新北市五股區成泰路一段47號
91,環保餐廳,新北市,65000,"Q Burger五股西雲店",02-22935777,新北市五股區西雲路241號1樓
92,環保餐廳,新北市,65000,"Q Burger五股洲子洋店",02-22921599,新北市五股區成泰路三段201號
93,環保餐廳,新北市,65000,"Q Burger五股國小店",02-82922183,新北市五股區成泰路二段108號
94,環保餐廳,新北市,65000,"Q Burger永和永元店",02-29265857,新北市永和區永元路124號
95,環保餐廳,新北市,65000,"Q Burger永和永平店",02-29295009,新北市永和區永平路250號
96,環保餐廳,新北市,65000,"Q Burger永和永亨店",02-29202227,新北市永和區永亨路107號
97,環保餐廳,新北市,65000,"Q Burger永和永利店",02-22320310,新北市永和區永利路3號1樓
98,環保餐廳,新北市,65000,"Q Burger永和永貞店",02-29262971,新北市永和區永貞路355巷2號
99,環保餐廳,新北市,65000,"Q Burger永和信義店",02-29214352,新北市永和區信義路93號1樓
100,環保餐廳,新北市,65000,"Q Burger永和得和店",02-86681921,新北市永和區得和路172號1樓
101,環保餐廳,新北市,65000,"Q Burger汐止秀峰店",02-26430098,新北市汐止區仁愛路26號1樓
102,環保餐廳,新北市,65000,"Q Burger汐止明峰店",02-26932023,新北市汐止區明峰街125-3號1樓
103,環保餐廳,新北市,65000,"Q Burger汐止連興店",02-26919516,新北市汐止區連興街73號1樓
104,環保餐廳,新北市,65000,"Q Burger汐止福德店",02-26957300,新北市汐止區福德二路140號
105,環保餐廳,新北市,65000,"Q Burger汐止綠多店",02-26430058,新北市汐止區仁愛路162號1樓
106,環保餐廳,新北市,65000,"Q Burger汐止樟樹店",02-86916631,新北市汐止區樟樹一路130號
107,環保餐廳,新北市,65000,"Q Burger林口中山店",02-26026033,新北市林口區中山路3號1樓
108,環保餐廳,新北市,65000,"Q Burger林口仁愛店",02-26016558,新北市林口區西林里仁愛路二段150號
109,環保餐廳,新北市,65000,"Q Burger林口國小店",02-26012712,新北市林口區中山路156-1號一樓
110,環保餐廳,新北市,65000,"Q Burger板橋大仁店",02-29666587,新北市板橋區大仁街26號1樓
111,環保餐廳,新北市,65000,"Q Burger板橋中山店",02-29552958,新北市板橋區東丘里中山路２段９０巷１２號
112,環保餐廳,新北市,65000,"Q Burger板橋介壽店",02-22553597,新北市板橋區介壽街17號1樓
113,環保餐廳,新北市,65000,"Q Burger板橋文聖店",02-22500123,新北市板橋區文聖街142號
