統計期,總計,,汽車,,大客車,,大客車 /自用,,大客車 /營業,,大客車 /營業 /遊覽車,,大客車 /營業 /營業(不含遊覽車),,大貨車,,大貨車 /自用,,大貨車 /營業,,小客車,,小客車 /自用,,小客車 /營業,,小客車 /營業 /租賃,,小客車 /營業 /計程車,,小客車 /營業 /其他營業小客車,,小貨車,,小貨車 /自用,,小貨車 /營業,,小貨車 /營業 /租賃,,小貨車 /營業 /營業(不含租賃),,特種車,,警備車,,救護車,,消防車,,郵車,,其他,,機車,,機車重型,,大型重型,,大型重型550cc以上,,大型重型未滿550cc,,普通重型,,機車輕型,,小型輕型,,普通輕型,
,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市
114年 7月底,"140,547","117,042","14,852","26,063",734,559,4,2,730,557,3,1,727,556,3,1,3,1,-,-,"14,042","25,374","13,507","13,327",535,"12,047",180,"10,980",355,"1,067",-,-,56,97,46,42,10,55,-,31,10,24,17,32,-,-,-,-,-,-,16,23,1,9,"125,695","90,979","102,487","61,317",4,6,-,-,4,6,"102,483","61,311","23,208","29,662",197,64,"23,011","29,598"
114年 8月底,"141,680","116,722","15,337","26,517",758,577,7,2,751,575,3,1,748,574,3,1,3,1,-,-,"14,502","25,803","13,945","13,638",557,"12,165",189,"11,071",368,"1,094",-,-,57,104,47,44,10,60,-,35,10,25,17,32,-,-,-,-,-,-,16,23,1,9,"126,343","90,205","102,900","61,357",5,6,-,-,5,6,"102,895","61,351","23,443","28,848",195,63,"23,248","28,785"
114年 9月底,"142,949","116,206","15,894","27,127",776,604,7,2,769,602,3,-,766,602,3,1,3,1,-,-,"15,041","26,368","14,471","13,993",570,"12,375",196,"11,266",374,"1,109",-,-,57,121,47,44,10,77,-,46,10,31,17,33,-,-,-,-,-,-,16,23,1,10,"127,055","89,079","103,346","61,476",5,6,-,-,5,6,"103,341","61,470","23,709","27,603",195,63,"23,514","27,540"
114年 10月底,"143,861","116,561","16,087","27,283",796,627,7,2,789,625,3,-,786,625,3,1,3,1,-,-,"15,213","26,493","14,619","14,065",594,"12,428",193,"11,289",401,"1,139",-,-,58,127,48,45,10,82,-,51,10,31,17,35,-,-,-,-,-,-,16,23,1,12,"127,774","89,278","103,836","61,730",4,7,-,-,4,7,"103,832","61,723","23,938","27,548",195,62,"23,743","27,486"
114年 11月底,"144,811","117,483","16,449","27,592",869,691,7,2,862,689,3,5,859,684,3,2,3,1,-,1,"15,500","26,733","14,897","14,236",603,"12,497",192,"11,337",411,"1,160",-,-,60,131,49,45,11,86,-,55,11,31,17,35,-,-,-,-,-,-,16,23,1,12,"128,362","89,891","104,229","61,877",4,7,-,-,4,7,"104,225","61,870","24,133","28,014",196,62,"23,937","27,952"
114年 12月底,"146,740","119,420","17,535","28,711",919,800,7,2,912,798,3,7,909,791,3,5,3,1,-,4,"16,535","27,725","15,913","14,958",622,"12,767",196,"11,560",426,"1,207",-,-,61,146,49,51,12,95,-,63,12,32,17,35,-,-,-,-,-,-,16,23,1,12,"129,205","90,709","104,810","61,981",4,7,-,-,4,7,"104,806","61,974","24,395","28,728",196,62,"24,199","28,666"
115年底 (3月底),"149,342","120,383","18,983","30,160",986,960,7,2,979,958,3,11,976,947,3,5,3,1,-,4,"17,912","28,995","17,219","15,823",693,"13,172",212,"11,878",481,"1,294",-,-,65,165,51,53,14,112,-,80,14,32,17,35,-,-,-,-,-,-,16,23,1,12,"130,359","90,223","105,504","62,625",3,7,-,-,3,7,"105,501","62,618","24,855","27,598",192,57,"24,663","27,541"
115年 1月底,"147,228","118,880","17,696","28,867",932,852,7,2,925,850,3,7,922,843,3,5,3,1,-,4,"16,682","27,820","16,035","15,013",647,"12,807",203,"11,576",444,"1,231",-,-,62,155,50,51,12,104,-,72,12,32,17,35,-,-,-,-,-,-,16,23,1,12,"129,532","90,013","105,016","62,028",4,7,-,-,4,7,"105,012","62,021","24,516","27,985",194,59,"24,322","27,926"
115年 2月底,"147,773","118,917","17,952","29,015",944,913,7,2,937,911,3,8,934,903,3,5,3,1,-,4,"16,924","27,905","16,262","15,092",662,"12,813",205,"11,563",457,"1,250",-,-,64,157,51,51,13,106,-,74,13,32,17,35,-,-,-,-,-,-,16,23,1,12,"129,821","89,902","105,182","62,079",3,7,-,-,3,7,"105,179","62,072","24,639","27,823",192,58,"24,447","27,765"
115年 3月底,"149,342","120,383","18,983","30,160",986,960,7,2,979,958,3,11,976,947,3,5,3,1,-,4,"17,912","28,995","17,219","15,823",693,"13,172",212,"11,878",481,"1,294",-,-,65,165,51,53,14,112,-,80,14,32,17,35,-,-,-,-,-,-,16,23,1,12,"130,359","90,223","105,504","62,625",3,7,-,-,3,7,"105,501","62,618","24,855","27,598",192,57,"24,663","27,541"
